index,first_name,last_name,agency,weekly_hours_worked,hourly_wage,allocated_wage,pharmacy,dental,vision,unspecified,weekly_spending,weeks_in_program
45,Cynthia,Smith,NU,20,1,19.2,57.79,336.18,187.64,286.69,29.94,29
46,Jeannette,Deckard,K,10,1,9.6,107.05,222.42,92.9,231.71,16.35,40
47,Young,Hardwick,Elim,21,1,20.16,172.6,153.22,132.23,633.43,37.64,29
48,Ollie,Samaroo,OneStop,15,1,14.4,32.67,204.44,142.83,980.89,34.02,40
49,Roy,Chevere,HomeAssist,21,3,60.48,14.56,285.81,169.62,251.73,15.69,46
50,Robert,Ramos,HomeAssist,18,4,69.12,134.93,495.27,144.42,795.5,49.07,32
51,Cassandra,Nissen,K,29,3,83.52,114.2,467.0,152.43,246.1,29.69,33
52,Ethel,Brown,EverGreen,23,2,44.16,41.88,280.6,92.17,557.22,28.58,34
53,Ruth,Williams,K,34,1,32.64,158.12,308.15,184.42,151.5,20.05,40
54,Rhonda,Moore,HomeAssist,40,1,38.4,49.15,228.05,98.21,350.31,18.61,39
55,Maureen,Kinsey,OneStop,40,2,76.8,162.29,125.65,194.9,200.5,27.33,25
56,Crystal,Kennedy,K,30,4,115.2,165.65,845.24,152.05,814.57,42.99,46
57,Joe,Cobb,EverGreen,12,3,34.56,104.18,333.28,143.35,624.42,28.7,42
58,Billy,Phillips,OneStop,19,3,54.72,34.22,166.86,67.73,531.12,29.63,27
59,Arthur,Hare,NU,31,2,59.52,183.0,421.49,131.53,597.62,60.62,22
60,Roland,Silvera,NU,31,2,59.52,144.3,484.16,137.07,838.6,100.26,16
61,Ricardo,Payne,NU,32,1,30.72,130.02,408.86,165.59,873.83,87.68,18
62,Elizabeth,Donald,OneStop,21,2,40.32,78.26,290.87,101.6,719.1,62.62,19
63,Dolores,Zahm,K,30,1,28.8,22.77,53.77,126.69,502.66,17.22,41
64,Maryann,Margerum,EverGreen,13,3,37.44,198.81,215.27,161.36,528.56,21.65,51
65,Catherine,Ashpole,K,28,3,80.64,161.85,116.24,61.87,971.98,34.52,38
66,James,Pregler,OneStop,22,4,84.48,98.61,297.81,192.59,597.96,26.98,44
67,Fran,Hurd,HomeAssist,25,4,96.0,167.25,68.83,103.83,124.17,8.92,52
68,Irene,Shofner,Elim,25,1,24.0,34.72,167.29,61.21,440.89,41.42,17
69,Aaron,Schaper,K,29,2,55.68,173.92,184.82,89.19,956.82,40.14,35
70,Dorcas,Aceuedo,EverGreen,35,1,33.6,136.71,71.01,107.96,652.99,42.12,23
71,Shawn,Lowe,OneStop,34,3,97.92,163.02,215.11,86.33,247.9,16.96,42
72,Laura,Bernard,NU,35,2,67.2,41.06,233.16,194.95,778.47,43.02,29
73,Curtis,Carey,EverGreen,17,2,32.64,82.99,88.07,142.79,656.06,21.09,46
74,John,Nave,OneStop,10,2,19.2,121.6,313.13,54.7,911.9,31.85,44
75,Maria,Petty,NU,15,1,14.4,85.62,412.39,181.91,553.31,58.73,21
76,Richard,Krumroy,EverGreen,23,2,44.16,185.65,362.23,197.49,138.64,58.93,15
77,Tatyana,Roca,HomeAssist,34,3,97.92,10.4,145.08,117.83,193.15,19.44,24
78,Richard,Ryan,NU,19,2,36.48,95.87,149.32,174.17,525.43,19.28,49
79,Carolyn,Schleusner,OneStop,19,1,18.24,140.62,472.58,102.12,467.5,59.14,20
80,Colleen,Primeaux,EverGreen,40,1,38.4,42.92,193.74,110.79,169.45,23.5,22
81,John,Mason,NU,12,4,46.08,29.09,471.5,187.32,463.86,22.15,52
82,Pamela,Pittman,HomeAssist,35,2,67.2,127.51,299.4,51.55,828.28,30.39,43
83,Tara,Carey,HomeAssist,16,3,46.08,83.72,408.08,81.32,335.36,25.24,36
84,Rose,Macias,HomeAssist,20,3,57.6,118.4,77.84,92.76,461.01,27.78,27
85,Melanie,Cavanaugh,HomeAssist,34,3,97.92,147.18,140.74,150.26,855.05,51.73,25
86,Arturo,Williams,K,12,1,11.52,58.83,257.67,119.73,357.12,29.38,27
87,Mack,Driskill,EverGreen,11,1,10.56,159.62,360.21,198.02,174.42,29.74,30
88,David,Wilson,HomeAssist,28,3,80.64,191.38,338.68,78.1,477.1,22.61,48
89,Brenda,Corr,OneStop,26,3,74.88,181.81,458.16,138.36,817.29,31.91,50
90,James,Scott,K,31,2,59.52,84.43,464.01,114.76,362.5,64.11,16
91,Christine,Aquino,NU,30,3,86.4,111.11,148.51,115.35,521.96,56.06,16
92,Theresa,Devilbiss,EverGreen,18,1,17.28,172.24,400.21,149.43,117.66,33.58,25
93,Ma,Glud,K,39,1,37.44,191.9,432.7,132.48,104.55,26.93,32
94,Charles,Stepnowski,NU,16,1,15.36,146.31,187.6,83.05,392.88,23.82,34
95,Ronald,Franklin,EverGreen,19,3,54.72,49.49,61.6,160.52,594.74,29.87,29
96,Donald,Bocci,EverGreen,10,2,19.2,190.21,136.94,118.13,717.15,96.87,12
97,Ivan,Black,Elim,13,1,12.48,135.71,379.3,136.38,385.04,25.91,40
98,David,Chappell,OneStop,33,1,31.68,73.96,236.17,114.61,172.37,39.81,15
99,Robert,Davis,Elim,33,2,63.36,18.4,143.92,181.93,221.92,14.15,40
100,Robert,Webb,K,23,4,88.32,114.38,217.28,90.31,762.36,27.54,43
101,Marcella,Borst,K,33,4,126.72,131.36,894.29,210.16,436.09,111.46,15
102,David,Byars,OneStop,25,4,96.0,48.0,269.41,181.88,239.69,15.72,47
103,Tammy,Ruybal,EverGreen,11,1,10.56,190.67,469.76,191.5,781.75,40.84,40
104,Margaret,Mcdaniel,EverGreen,19,4,72.96,35.22,96.6,144.29,392.9,15.56,43
105,Eddie,Adams,K,39,4,149.76,122.52,621.42,306.69,532.63,63.33,25
106,Kelly,Whitted,K,39,1,37.44,188.81,167.06,73.08,215.73,24.8,26
107,Cornelius,Canada,HomeAssist,34,4,130.56,48.72,905.25,195.16,790.41,44.08,44
108,Phyllis,Feinstein,Elim,22,2,42.24,113.22,238.44,177.39,668.66,54.44,22
109,Christine,Frankel,EverGreen,31,2,59.52,65.28,481.32,177.08,270.46,39.77,25
110,Margaret,Jordan,Elim,39,4,149.76,153.65,631.19,324.31,922.17,135.42,15
111,Holly,Ball,HomeAssist,28,4,107.52,87.64,752.34,255.2,881.7,38.76,51
112,David,Hoffman,EverGreen,15,2,28.8,96.77,58.87,199.65,426.46,21.13,37
113,Debbie,Lancaster,Elim,38,3,109.44,175.26,213.47,204.99,612.51,23.2,52
114,Ashley,Stephens,OneStop,29,3,83.52,177.4,188.99,147.86,907.6,45.87,31
115,Tasha,Duncan,OneStop,33,2,63.36,171.87,191.55,119.78,574.57,39.18,27
116,Della,Allen,OneStop,22,3,63.36,109.86,87.85,108.33,377.53,15.54,44
117,Allen,Mccalpane,NU,32,1,30.72,173.37,372.82,151.62,254.09,63.46,15
118,Rose,Freeze,NU,33,3,95.04,108.35,260.07,191.8,721.27,61.02,21
119,Teresa,Hennessey,EverGreen,15,2,28.8,34.79,91.53,85.87,297.09,11.84,43
120,James,Byrd,EverGreen,38,3,109.44,19.46,717.97,181.44,755.99,38.95,43
121,Willie,Grace,EverGreen,27,4,103.68,88.76,143.29,472.54,651.74,96.88,14
122,Gary,Norman,NU,30,3,86.4,118.29,279.89,114.51,229.32,57.08,13
123,Christina,Pickett,NU,31,3,89.28,92.78,420.92,149.5,281.28,41.06,23
124,Mimi,Coleman,EverGreen,23,3,66.24,101.86,496.48,152.19,816.91,60.29,26
125,Rita,Nelson,K,18,4,69.12,63.43,155.29,162.63,492.39,26.48,33
126,Allan,Bridges,NU,30,4,115.2,153.53,266.85,475.21,159.65,27.06,39
127,Kimberly,Jones,NU,32,2,61.44,73.28,169.44,69.31,356.7,15.55,43
128,Louis,Walko,OneStop,24,1,23.04,43.79,272.79,98.07,888.26,44.93,29
129,Heather,Harris,EverGreen,39,1,37.44,122.72,379.36,136.3,698.59,37.14,36
130,John,Colston,HomeAssist,10,3,28.8,183.06,76.91,149.54,990.02,82.33,17
131,Omer,Ponzi,Elim,29,3,83.52,41.29,497.06,140.7,619.84,40.59,32
132,John,Sanders,NU,29,1,27.84,13.14,212.71,183.61,693.91,21.22,52
133,Daniel,Holt,Elim,11,1,10.56,75.68,290.34,191.31,395.62,24.43,39
134,Joseph,Garcia,K,40,2,76.8,123.29,464.17,62.2,667.82,25.83,51
135,Consuelo,Mcclain,EverGreen,31,3,89.28,69.75,355.06,61.52,884.19,38.07,36
136,Edith,Groce,HomeAssist,10,4,38.4,186.39,174.56,82.41,119.77,14.08,40
137,Eva,Bookhardt,EverGreen,32,2,61.44,84.93,189.42,54.2,988.2,109.73,12
138,Ruth,Park,Elim,22,2,42.24,197.57,94.81,127.23,638.3,46.0,23
139,Anna,Mackey,EverGreen,33,4,126.72,167.19,825.98,115.76,205.48,30.57,43
140,Amy,Mclaughlin,HomeAssist,24,4,92.16,81.38,75.75,191.76,340.55,14.07,49
141,Wilbert,Solis,Elim,35,2,67.2,71.13,313.58,190.58,421.93,25.57,39
142,Lottie,Newton,EverGreen,11,4,42.24,95.36,173.69,57.47,852.23,25.08,47
143,Maria,Moon,HomeAssist,35,3,100.8,190.18,577.89,163.2,117.84,20.98,50
144,Sandra,Kendall,NU,29,3,83.52,78.26,213.99,188.6,321.9,33.45,24
145,Patricia,Stadler,K,17,4,65.28,57.74,482.75,155.3,949.63,37.4,44
146,Brandy,Yang,EverGreen,26,2,49.92,142.21,107.77,72.89,881.87,66.93,18
147,Della,Cowan,HomeAssist,29,1,27.84,135.58,77.72,189.83,112.86,12.0,43
148,Leroy,Butler,OneStop,17,4,65.28,78.09,83.15,163.22,360.82,17.57,39
149,Soraya,Landry,NU,37,1,35.52,36.56,123.41,87.95,124.47,12.84,29
150,William,Zuhlke,HomeAssist,11,4,42.24,69.07,349.93,191.27,730.25,27.36,49
151,Rosalie,Fothergill,K,20,3,57.6,69.5,92.39,62.55,839.65,21.28,50
152,Jeremy,Griffin,EverGreen,25,1,24.0,72.41,294.14,145.23,553.88,53.28,20
153,Heather,Scott,EverGreen,38,3,109.44,138.24,173.53,224.91,315.78,44.87,19
154,Linda,Moran,OneStop,40,3,115.2,47.23,735.8,219.82,894.55,61.21,31
155,Alton,Whorton,K,26,2,49.92,152.3,296.4,105.13,275.05,36.04,23
156,Alfonso,Gibson,EverGreen,25,3,72.0,190.92,65.3,112.89,451.2,18.23,45
157,Ruth,Knight,HomeAssist,32,4,122.88,172.54,795.63,362.31,617.84,41.45,47
158,Jared,Abrego,Elim,13,1,12.48,55.68,121.22,116.69,361.28,32.74,20
159,Catherine,Mankin,HomeAssist,27,1,25.92,93.66,299.73,150.65,495.99,28.89,36
160,Lisa,Mcnair,Elim,25,1,24.0,186.21,313.22,168.81,635.7,26.61,49
161,Roosevelt,Martin,OneStop,38,3,109.44,39.31,442.46,472.11,377.57,35.99,37
162,John,Morones,K,38,2,72.96,170.34,144.69,111.86,593.51,78.49,13
163,Clarissa,Holland,EverGreen,34,3,97.92,87.14,296.39,140.64,172.06,58.02,12
164,Dorothy,Fess,EverGreen,34,4,130.56,74.57,481.41,346.52,543.5,35.27,41
165,Denise,Sweet,HomeAssist,29,3,83.52,100.11,179.67,55.88,184.71,26.02,20
166,Lisa,Boyd,EverGreen,10,3,28.8,68.69,450.55,99.26,150.05,21.35,36
167,Joanne,Wyatt,NU,29,1,27.84,192.06,235.38,78.21,908.36,37.21,38
168,James,Bailey,Elim,33,2,63.36,159.11,385.07,177.1,855.07,33.54,47
169,Debra,Tweedie,K,34,2,65.28,175.91,471.85,173.16,257.63,24.51,44
170,Beatriz,True,NU,25,2,48.0,34.9,116.81,149.75,351.53,16.74,39
171,Cynthia,Eidson,NU,11,3,31.68,76.32,125.96,143.93,688.38,60.86,17
172,Germaine,Colbeth,OneStop,14,2,26.88,132.71,121.29,90.76,369.81,23.82,30
173,Laura,Delbridge,HomeAssist,22,1,21.12,72.72,224.33,72.06,442.94,20.3,40
174,Guillermo,Birkey,OneStop,19,4,72.96,31.24,199.29,129.18,789.05,44.18,26
175,Edith,Gray,OneStop,29,3,83.52,103.97,235.08,104.04,910.37,29.42,46
176,Hugo,Gaytan,OneStop,30,2,57.6,146.34,254.9,151.64,958.96,88.93,17
177,Edward,Redenius,HomeAssist,10,4,38.4,193.58,133.94,160.73,234.33,15.05,48
178,Doris,Whitford,K,24,3,69.12,79.36,250.87,147.19,749.22,36.08,34
179,Mark,Jinkens,K,28,4,107.52,180.05,710.23,486.1,292.34,37.93,44
180,Trevor,Watson,EverGreen,17,3,48.96,87.79,401.05,105.3,665.64,57.26,22
181,Nanci,Bowers,Elim,21,2,40.32,176.74,469.82,75.66,102.95,18.75,44
182,Latanya,Munsey,OneStop,30,1,28.8,97.64,194.14,72.98,886.02,30.51,41
183,Jane,Robertson,EverGreen,32,3,92.16,184.03,486.25,161.59,880.89,100.75,17
184,Robert,Smith,Elim,31,4,119.04,13.58,205.29,228.13,606.61,35.12,30
185,Jonelle,Stillwell,K,13,3,37.44,15.46,441.58,164.57,395.77,59.85,17
186,Maria,Ryan,Elim,35,1,33.6,10.29,138.71,112.66,661.1,23.07,40
187,Patricia,Stephenson,HomeAssist,35,2,67.2,38.38,380.17,144.79,500.15,25.32,42
188,Jennifer,Foster,HomeAssist,30,4,115.2,108.06,383.85,332.29,450.2,34.44,37
189,Cynthia,Bennett,HomeAssist,20,2,38.4,178.92,369.12,146.66,155.77,56.7,15
190,Rosa,Graves,EverGreen,15,1,14.4,136.75,288.32,130.07,902.15,60.72,24
191,Ana,Maxwell,OneStop,25,4,96.0,123.15,435.15,50.02,692.72,33.36,39
192,Karen,Stone,OneStop,33,4,126.72,129.11,422.67,190.56,820.67,78.15,20
193,Katie,Velez,NU,11,1,10.56,167.93,322.04,175.16,646.86,28.52,46
194,Leta,Anderson,Elim,10,2,19.2,22.46,403.14,165.18,761.61,27.6,49
195,Todd,Jacoby,HomeAssist,27,1,25.92,57.01,67.18,161.09,569.84,57.01,15
196,Lois,Oniel,OneStop,20,3,57.6,136.73,162.56,139.49,434.67,21.3,41
197,Jaime,Howard,K,19,4,72.96,132.26,176.66,53.14,440.25,30.86,26
198,Charles,May,K,13,1,12.48,195.84,229.08,63.66,156.45,23.04,28
199,Curtis,Soper,HomeAssist,28,1,26.88,92.86,211.49,182.53,554.7,28.15,37
200,Melissa,Otten,K,34,2,65.28,158.79,351.28,126.74,750.14,27.74,50
201,Polly,Jacobs,OneStop,27,2,51.84,146.2,402.23,67.9,332.15,31.62,30
202,Merle,Avila,HomeAssist,33,1,31.68,22.26,490.39,108.64,594.63,76.0,16
203,Gilbert,White,Elim,11,3,31.68,148.29,183.71,56.33,311.66,21.21,33
204,David,Carmon,OneStop,21,3,60.48,181.88,317.02,80.62,628.19,32.64,37
205,Tina,Olson,NU,28,3,80.64,184.06,270.53,53.61,264.29,16.09,48
206,Viola,Brooks,Elim,30,4,115.2,115.38,102.81,276.09,957.25,58.06,25
207,Cathy,Reyes,EverGreen,31,1,29.76,128.93,423.21,92.67,372.16,59.82,17
208,Paul,Fonua,NU,31,3,89.28,128.42,303.49,182.7,224.28,19.51,43
209,James,Good,OneStop,12,2,23.04,94.53,467.6,61.57,428.46,35.07,30
210,Rosa,Rice,Elim,18,3,51.84,162.91,451.25,172.02,366.33,26.8,43
211,George,Varner,K,23,2,44.16,181.01,151.55,91.08,195.75,14.75,42
212,Holly,Howerton,Elim,33,4,126.72,134.42,475.55,435.31,465.19,41.96,36
213,Margaret,Sjolander,Elim,18,4,69.12,58.63,278.88,164.67,511.09,19.49,52
214,Kevin,Fears,HomeAssist,38,2,72.96,146.87,489.57,96.17,463.64,62.96,19
215,James,Johnson,K,40,1,38.4,82.1,432.31,75.08,654.91,65.49,19
216,Henry,Campos,K,32,3,92.16,157.23,361.46,75.22,849.67,111.04,13
217,Crystal,Gunn,K,16,1,15.36,116.3,144.61,88.92,756.47,28.37,39
218,Barbara,Bell,HomeAssist,21,3,60.48,104.11,201.04,182.2,731.07,24.37,50
219,Ronald,Robinson,Elim,21,4,80.64,109.57,485.68,185.5,757.24,42.72,36
220,David,Salano,Elim,26,2,49.92,86.35,97.48,83.3,901.87,35.42,33
221,Camille,Johnson,K,23,4,88.32,131.86,211.82,162.96,963.56,49.01,30
222,Toni,Jordan,NU,34,1,32.64,47.54,423.41,199.12,511.63,28.14,42
223,Nathan,Johnson,OneStop,28,3,80.64,67.2,84.78,87.15,163.11,18.28,22
224,James,Davis,OneStop,33,2,63.36,169.68,101.57,76.73,658.55,59.21,17
225,Douglas,Rowland,K,31,2,59.52,190.05,167.74,187.28,128.63,51.82,13
226,Tatiana,Schey,Elim,14,4,53.76,16.6,199.97,197.5,773.18,28.27,42
227,Linda,Mroz,Elim,12,2,23.04,146.52,395.49,122.11,504.74,97.41,12
228,George,Croshaw,K,11,1,10.56,170.78,473.28,108.54,928.7,37.36,45
229,Bertha,Harris,Elim,38,3,109.44,94.67,867.16,247.61,904.33,54.2,39
230,Bobby,Lowery,OneStop,18,4,69.12,161.82,172.17,143.79,577.91,39.1,27
231,Anthony,Lang,OneStop,11,2,21.12,87.26,103.46,114.46,632.4,40.76,23
232,Sean,Davis,EverGreen,31,4,119.04,164.96,781.36,475.88,728.14,50.01,43
233,Dennis,Allison,K,37,1,35.52,176.41,483.88,143.73,819.23,39.59,41
234,Daniel,Corzo,K,37,2,71.04,32.8,95.26,170.55,810.71,79.24,14
235,Arturo,Welch,HomeAssist,25,1,24.0,43.52,479.94,197.85,406.34,41.76,27
236,Susan,Seibel,K,19,2,36.48,123.53,104.25,169.78,238.81,20.53,31
237,Jackie,Mertens,Elim,34,4,130.56,74.86,551.27,240.37,992.77,123.95,15
238,Brenda,Newton,HomeAssist,30,1,28.8,199.87,380.56,57.62,351.49,26.04,38
239,Jose,Airington,NU,30,1,28.8,87.25,81.44,51.03,998.7,46.86,26
240,Mike,Blankenship,EverGreen,16,2,30.72,126.92,141.68,89.66,862.92,32.14,38
241,William,Colon,HomeAssist,15,3,43.2,28.63,192.49,53.93,929.36,48.18,25
242,Eric,Underhill,NU,16,3,46.08,27.45,307.3,87.87,544.93,43.98,22
243,Eugene,Buckley,EverGreen,40,4,153.6,18.14,737.08,491.59,743.61,76.55,26
244,Gary,Thresher,EverGreen,10,2,19.2,46.17,116.1,52.71,246.51,15.38,30
245,Palmer,Oliver,NU,22,3,63.36,139.06,234.67,191.0,944.45,60.37,25
246,Alonzo,Speight,OneStop,39,4,149.76,158.8,586.29,452.08,245.78,84.88,17
247,Rhonda,Schneider,K,18,4,69.12,138.3,312.3,176.83,139.12,20.17,38
248,Allison,Picking,OneStop,19,3,54.72,46.42,313.65,57.77,727.92,27.28,42
249,Gary,Kesler,K,27,4,103.68,39.08,632.53,130.71,358.54,25.24,46
250,Reggie,James,EverGreen,17,3,48.96,28.11,383.94,139.61,386.42,21.82,43
251,Herman,Duncan,HomeAssist,11,3,31.68,194.38,114.2,89.71,994.76,37.65,37
252,Holly,Hendricks,Elim,20,3,57.6,59.14,112.26,147.82,627.84,72.85,13
253,Christie,Rivard,EverGreen,11,2,21.12,187.78,141.29,61.31,954.62,39.56,34
254,Carmine,Sebastian,EverGreen,25,1,24.0,189.75,498.5,120.35,753.63,30.04,52
255,Gene,Brazil,HomeAssist,39,1,37.44,82.28,403.38,108.33,455.17,27.61,38
256,Aubrey,Smith,K,26,4,99.84,120.51,135.34,177.44,168.75,28.67,21
257,Corey,Brownfield,K,26,3,74.88,182.57,81.9,98.2,211.21,19.13,30
258,Patricia,Oiler,HomeAssist,24,3,69.12,82.0,367.69,199.78,858.86,29.58,51
259,Patricia,Burchett,OneStop,36,4,138.24,132.08,412.48,141.86,694.89,51.16,27
260,Joyce,Pope,Elim,35,4,134.4,116.62,842.18,455.59,266.98,98.9,17
261,Victor,Wittman,OneStop,34,4,130.56,136.29,955.72,299.73,659.56,58.61,35
262,Carlos,Coachman,OneStop,35,1,33.6,135.26,486.08,96.55,888.64,57.38,28
263,Yvonne,Guevara,EverGreen,11,3,31.68,106.06,115.11,102.74,220.0,11.57,47
264,William,Lawrence,OneStop,36,1,34.56,21.45,160.18,105.36,276.37,13.74,41
265,Rudolph,Raines,OneStop,39,3,112.32,178.07,390.82,451.72,330.44,35.55,38
266,Cathy,Jackson,HomeAssist,34,1,32.64,196.24,126.0,65.06,652.09,20.38,51
267,Ellen,Steib,NU,14,2,26.88,192.03,194.97,129.94,131.88,46.34,14
268,Angela,Borthwick,K,38,4,145.92,158.51,647.25,139.38,518.5,63.64,23
269,Anthony,Smith,Elim,30,2,57.6,15.8,222.6,138.98,882.22,24.7,51
270,Rose,Smith,HomeAssist,30,4,115.2,18.11,141.4,439.61,787.39,33.01,42
271,George,Ruacho,OneStop,22,1,21.12,189.81,335.45,174.63,461.65,96.8,12
272,Andrew,Greene,K,27,1,25.92,22.05,179.39,183.78,920.51,52.23,25
273,Olga,Foley,NU,14,4,53.76,84.22,449.46,106.42,794.45,55.17,26
274,Jeanette,Washington,K,35,2,67.2,162.13,193.91,148.27,965.21,32.66,45
275,Jack,Pugh,NU,29,1,27.84,72.12,161.74,146.45,448.43,16.91,49
276,Anthony,Mcguire,EverGreen,35,1,33.6,52.05,166.73,160.06,993.73,57.19,24
277,Joseph,Parrish,Elim,19,3,54.72,131.19,356.19,72.07,833.97,33.99,41
278,Deanna,Lazzari,EverGreen,22,2,42.24,87.39,305.77,194.74,726.88,87.65,15
279,Howard,Brooks,K,19,2,36.48,194.13,285.26,56.83,880.76,54.5,26
280,Anita,Walker,Elim,12,4,46.08,164.63,288.74,87.35,623.41,89.55,13
281,Maria,Burton,OneStop,26,2,49.92,11.65,264.24,118.73,582.79,33.7,29
282,Mary,Hyslop,Elim,20,3,57.6,24.56,269.24,128.77,385.81,57.74,14
283,Max,Layne,OneStop,18,3,51.84,157.14,344.88,194.58,911.88,41.24,39
284,Lois,Nelson,Elim,29,4,111.36,129.88,143.26,199.76,480.49,50.18,19
285,Shelton,Mottillo,K,36,2,69.12,163.66,294.12,118.23,912.79,59.55,25
286,Troy,Olsen,OneStop,30,4,115.2,104.06,288.08,266.66,445.49,31.55,35
287,Yvette,Jerome,K,29,1,27.84,34.42,413.54,149.9,971.49,82.6,19
288,Charles,Zuniga,Elim,17,3,48.96,130.23,184.98,138.11,654.45,23.08,48
289,Donnette,Atwell,K,20,4,76.8,164.69,488.11,177.8,228.44,26.48,40
290,Mary,Krebs,K,30,2,57.6,186.78,356.77,60.46,150.23,31.43,24
291,Barbara,Williams,NU,31,4,119.04,77.67,133.37,452.84,638.73,44.92,29
292,Eleanor,Richardson,EverGreen,13,2,24.96,38.47,155.83,109.15,384.66,18.6,37
293,Tom,Paviolitis,EverGreen,23,4,88.32,74.97,376.31,68.51,688.25,100.67,12
294,Mildred,Harper,Elim,34,4,130.56,23.94,257.03,248.64,873.66,35.98,39
295,Monica,Walden,Elim,15,4,57.6,78.23,344.14,152.35,516.16,41.96,26
296,Joanne,Smith,NU,21,3,60.48,106.54,252.55,154.41,311.57,27.5,30
297,Ron,Carr,Elim,23,1,22.08,144.9,388.99,71.85,295.87,39.2,23
298,Janet,Solomon,Elim,22,2,42.24,109.91,69.25,93.76,706.3,44.51,22
299,Carl,Dean,EverGreen,26,1,24.96,165.67,206.76,101.25,276.46,17.05,44
300,Loraine,Stauffer,HomeAssist,28,2,53.76,193.54,223.3,88.55,139.11,22.22,29
301,Jessica,Nichols,NU,12,1,11.52,42.13,103.25,178.28,727.35,43.79,24
